name,dosage,form,active_substance,indications,contraindications,category
Дюспаталин Дуо таб,30 шт,таблетки,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Дюспаталин капс,200 мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Мебеверин капс. пролонг,200мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Мебеверин солофарм капс,200 мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Меберин мл капс. пролонг,200 мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Мебеспалин ретард таб п/об пленочной пролонг,200мг ; 30 шт,таблетки,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Ниаспам капс. пролонг,200мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Но-шпа таб,40 мг ; 48 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Но-шпа таб,40мг ; 24 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Но-шпа таб,40мг ; 64 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Но-шпа таб п/об,40 мг ; 24 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Но-шпа форте таб,80мг ; 10 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Но-шпа форте таб,80мг ; 24 шт,таблетки,дротаверин,,,Пищеварительный тракт / Спазмолитики
Спарекс капс. пролонг,200мг ; 30 шт,капсулы,мебеверин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримебутин таб,100 мг ; 10 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримебутин таб,200 мг ; 30 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримедат порошок для приготовления суспензии,"152,5 г",порошок,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримедат таб,100мг ; 10 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримедат таб,200мг ; 30 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримедат форте таб,300 мг ; 20 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
Тримедат форте таб,300 мг ; 60 шт,таблетки,тримебутин,"спазмы, боль и дискомфорт в животе, функциональные нарушения ЖКТ",,Пищеварительный тракт / Спазмолитики
АВВАнтацид гель для приема внутрь пак,20 шт,гель,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
АВВАнтацид гель для приема внутрь пак,6 шт,гель,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Альфосфаль гель для приема внутрь пак,20 шт,гель,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Маалокс суспензия,15мл ; 30 шт,суспензия,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Маалокс суспензия,15мл ; 6 шт,суспензия,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Маалокс суспензия,250 мл,суспензия,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Маалокс таб жев,20 шт,таблетки,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Маалокс таб жев. без сахара,10 шт,таблетки,алгелдрат + магния гидроксид,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Фослюган Ал-гель суспензия,16 мл ; 5 шт,гель,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Фослюган Двойное действие при изжоге гель,10 мл ; 12 шт,гель,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Фослюган антацид таблетки со вкусом апельсина,12 шт,таблетки,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Фослюган антацид таблетки со вкусом мяты,12 шт,таблетки,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Фосфалюгель гель пак,20 шт,гель,алюминия фосфат,"изжога, диспепсия, гастроэзофагеальный рефлюкс",,Пищеварительный тракт / Средства от изжоги
Креон 10 000 капсулы №50,,капсулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Креон 25 000 капсулы №50,,капсулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Креон 40000 капс,50 шт,капсулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Креон Микро гранулы,20 г ; 5000 ЕД,гранулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Мезим 20000 таб 20,000 ЕД ; 20 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Мезим нео 10000 капс 10,000 ЕД ; 50 шт,капсулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Мезим форте таб,20 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Мезим форте таб,80 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Микразим панкреатин капс. 25тыс.ед №20,,капсулы,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин Реневал 20 000 таб,20000 ЕД ; 30 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,20 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,25 ЕД ; 60 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,30 ЕД ; 60 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,3500 ЕД ; 20 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,45 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб,50 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин таб п/об,25ед ; 20 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Панкреатин форте таб,60 шт,таблетки,панкреатин,"недостаточность пищеварительных ферментов, тяжесть после еды",,Пищеварительный тракт / Ферменты
Аква Марис Стронг для горла спрей,30 мл,спрей,морская вода,боль в горле,,Простуда и грипп / Боль в горле
Грамицидин С Реневал таб защечные,"1,5 мг ; 30 шт",таблетки,грамицидин C,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин детский спрей,0.03 мг ; 0.1 мг ; 112 доз,спрей,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин детский таб,18 шт,таблетки,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин нео таб,18 шт,таблетки,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин с анестетиком нео таб,18 шт,таблетки,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин с анестетиком спрей 112 доз,112 доз,спрей,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Граммидин спрей,0.06 мг ; 0.1 мг ; 112 доз,спрей,грамицидин C + цетилпиридиния хлорид,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Имудон таблетки для рассасывания,40 шт,таблетки,лизаты бактерий,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс Интенсив таблетки для рассасывания медово-лимонные,24 шт,таблетки,флурбипрофен,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс Мед и Лимон таблетки для рассасывания,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс Экспресс спрей со вкусом мяты и аниса,20мл,спрей,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс Экспресс таб для рассасывания со вкусом мяты,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс с Витамином С таблетки для рассасывания,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс с Ментолом и Эвкалиптом таблетки для рассасывания,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс с Ментолом и Эвкалиптом таблетки для рассасывания,36 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс с Согревающим эффектом таблетки для рассасывания,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Стрепсилс со вкусом Лимона таблетки для рассасывания,24 шт,таблетки,амилметакрезол + дихлорбензиловый спирт,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде Форте спрей,0.51 мг ; 15 мл,спрей,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде раствор 0.15%,500 мл,раствор,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде спрей для мест.пр,0.255 мг ; 30мл,спрей,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом лимона,20 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом лимона,40 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом меда и апельсина,40 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом мяты,40 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом эвкалипта,20 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
Тантум Верде таб со вкусом эвкалипта,40 шт,таблетки,бензидамин,"боль в горле, воспалительные заболевания ротоглотки",,Простуда и грипп / Боль в горле
АЦЦ 200 таб шип.,200мг ; 20 шт,таблетки,ацетилцистеин,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
АЦЦ Лонг таб шипучие,600 мг ; 20 шт,таблетки,ацетилцистеин,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
АЦЦ порошок,600 мг ; 6 шт,порошок,ацетилцистеин,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол Альфактив таб,30 мг ; 20 шт,таблетки,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол Велфарм таб,30мг ; 20 шт,таблетки,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол Сироп,15 мг ; 5 мл ; 100 мл,сироп,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол раствор для приема внутрь и для ингал.,7.5 мг/мл ; 7.5 мг,раствор,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол раствор для приема внутрь и для ингал.,7.5 мг/мл ; 7.5 мг ; 100 мл,раствор,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол раствор для приема внутрь и для ингаляций,"7,5 мг/мл ; 7,5 мг ; 40 мл",раствор,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Амброксол таб,30 мг ; 20 шт,таблетки,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Ацетилцистеин Канон гранулы,100мг ; 20 шт,гранулы,ацетилцистеин,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Ацетилцистеин Канон гранулы,600мг ; 10 шт,гранулы,ацетилцистеин,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Бромгексин 4 Берлин-Хеми раствор для приема внутрь,,раствор,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин 8 Берлин-Хеми таб п/о,8мг ; 25 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин Медисорб таб,8 мг ; 50 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин таб,8 мг ; 20 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин таб,8 мг ; 28 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин таб,8мг ; 20 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин таб,8мг ; 50 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин таб для детей,4мг ; 50 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Бромгексин-Акрихин таблетки,4 мг ; 50 шт,таблетки,бромгексин,"кашель, заболевания дыхательных путей с кашлем",,Простуда и грипп / Кашель
Лазолван Макс капс,75мг ; 10 шт,капсулы,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Лазолван Фито сироп,100мл,сироп,экстракт тимьяна,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Лазолван раствор,30 мг ; 5 мл ; 100 мл,раствор,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Лазолван раствор для приема внутрь и ингаляций,100 мл,раствор,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Лазолван сироп,15 мг ; 5 мл ; 100 мл,сироп,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Лазолван таб,30мг ; 20 шт,таблетки,амброксол,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Мукалтин ВИАЛАЙН таб для рассасывания,20 шт,таблетки,экстракт алтея лекарственного,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Мукалтин Реневал таб,50мг ; 20 шт,таблетки,экстракт алтея лекарственного,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
Мукалтин таб,50 мг ; 10 шт,таблетки,экстракт алтея лекарственного,кашель с трудноотделяемой мокротой,,Простуда и грипп / Кашель
